/net014 X,/net014 Y,/net015 X,/net015 Y
1.30146298111285e-09,0.8625707394883333,1.30146298111285e-09,-0.04377845674834194
1.3029259622257e-09,0.862564749887167,1.3029259622257e-09,-0.04377322946901017
1.3058519244514e-09,0.8625520093596599,1.3058519244514e-09,-0.04376199335896259
1.308757899369871e-09,0.8625382457702999,1.308757899369871e-09,-0.04374967560063225
1.311663874288343e-09,0.8625242798304129,1.311663874288343e-09,-0.04373691855571634
1.314569849206815e-09,0.8625101655546087,1.314569849206815e-09,-0.04372371068227145
1.317475824125286e-09,0.8624954009055412,1.317475824125286e-09,-0.04370963452559067
1.320381799043758e-09,0.8624799771894972,1.320381799043758e-09,-0.04369476764402482
1.32328777396223e-09,0.8624635213114493,1.32328777396223e-09,-0.04367880933453535
1.326193748880702e-09,0.8624464041701597,1.326193748880702e-09,-0.04366213774894336
1.329099723799173e-09,0.8624290854193628,1.329099723799173e-09,-0.04364513226151418
1.33148941142277e-09,0.8624147959458701,1.33148941142277e-09,-0.04363094741769236
1.333879099046366e-09,0.8624010962951365,1.333879099046366e-09,-0.04361718774707565
1.335508847752865e-09,0.8623921604077841,1.335508847752865e-09,-0.04360811790274852
1.337138596459365e-09,0.8623833964373342,1.337138596459365e-09,-0.04359913505438896
1.340398093872364e-09,0.8623669113003722,1.340398093872364e-09,-0.043582136156706
1.346917088698362e-09,0.8623360762648733,1.346917088698362e-09,-0.04355004447998966
1.359955078350357e-09,0.8622844800473197,1.359955078350357e-09,-0.04349576715243602
1.372180698465527e-09,0.8622564737256599,1.372180698465527e-09,-0.04346708091073261
1.381232360459999e-09,0.8622402860610352,1.381232360459999e-09,-0.04345166970905436
1.387927641431509e-09,0.8622311245780837,1.387927641431509e-09,-0.04344174884932517
1.397078330361509e-09,0.862218027580622,1.397078330361509e-09,-0.04342704282947841
1.4041724398743e-09,0.8622103209575942,1.4041724398743e-09,-0.04341731848815376
1.410532924597391e-09,0.8622071482782284,1.410532924597391e-09,-0.04341016964467974
1.416680190720862e-09,0.8622115815981356,1.416680190720862e-09,-0.0434096800785848
1.422974129007088e-09,0.862223951678746,1.422974129007088e-09,-0.04341754887057479
1.427918739396829e-09,0.8622389051332718,1.427918739396829e-09,-0.04342960180364515
1.43780796017631e-09,0.8622834106335169,1.43780796017631e-09,-0.0434700136917576
1.443873259590348e-09,0.8623185826446231,1.443873259590348e-09,-0.04350493209509088
1.45116312444965e-09,0.8623597421310188,1.45116312444965e-09,-0.04354940794567606
1.457785514128084e-09,0.8623934658036253,1.457785514128084e-09,-0.0435876990083306
1.464718029929561e-09,0.8624238966366925,1.464718029929561e-09,-0.04362269781898038
1.472255606862909e-09,0.8624513366876942,1.472255606862909e-09,-0.04365512633144175
1.479144502346246e-09,0.8624738825285656,1.479144502346246e-09,-0.04368067191099306
1.491973259138305e-09,0.86252861990261,1.491973259138305e-09,-0.04373097310442776
1.499300681411631e-09,0.862575767680083,1.499300681411631e-09,-0.04377277463309067
1.507760030031119e-09,0.8626410938629178,1.507760030031119e-09,-0.04383082784494672
1.516381574554478e-09,0.8627147671946718,1.516381574554478e-09,-0.04389651432426132
1.525112388485606e-09,0.8627886390742631,1.525112388485606e-09,-0.04396490193360399
1.537985859045926e-09,0.8628767666376497,1.537985859045926e-09,-0.04404506263977906
1.544447512595501e-09,0.8629125200237776,1.544447512595501e-09,-0.04407499047091232
1.552081399433046e-09,0.8629519471463943,1.552081399433046e-09,-0.04410511319180029
1.555623342092133e-09,0.8629706432046623,1.555623342092133e-09,-0.04411826232997475
1.562707227410307e-09,0.8630146366702207,1.562707227410307e-09,-0.0441496138677489
1.567471015625414e-09,0.863047517370653,1.567471015625414e-09,-0.04417293221526777
1.576998592055626e-09,0.8631249037107064,1.576998592055626e-09,-0.04423380670676328
1.579778156747412e-09,0.8631496895672433,1.579778156747412e-09,-0.04425466709821173
1.585337286130984e-09,0.8631998847537387,1.585337286130984e-09,-0.04429852449006956
1.592668643065492e-09,0.8632622899021867,1.592668643065492e-09,-0.04435587693174706
1.6e-09,0.8633165781856031,1.6e-09,-0.04440993173013998
1.601627778622923e-09,0.8633269279722968,1.601627778622923e-09,-0.04442063693414242
1.603255557245845e-09,0.8633374538573291,1.603255557245845e-09,-0.04443173300086765
1.60651111449169e-09,0.8633579557127394,1.60651111449169e-09,-0.04445380633024815
1.609766671737535e-09,0.8633755565168556,1.609766671737535e-09,-0.04447295455668397
1.61302222898338e-09,0.8633912898709221,1.61302222898338e-09,-0.04449048557600119
1.615314538516889e-09,0.863401297158107,1.615314538516889e-09,-0.04450193943467869
1.617606848050399e-09,0.8634104071351427,1.617606848050399e-09,-0.04451258048560656
1.619616726168392e-09,0.8634180715141934,1.619616726168392e-09,-0.04452171017032878
1.622186382714501e-09,0.863427264788808,1.622186382714501e-09,-0.0445329392863233
1.62475603926061e-09,0.8634361854883809,1.62475603926061e-09,-0.04454405165582372
1.627325695806718e-09,0.8634454951940559,1.627325695806718e-09,-0.04455570038344523
1.629916040586997e-09,0.8634554718035534,1.629916040586997e-09,-0.04456806032031838
1.633879099046366e-09,0.8634724388609227,1.633879099046366e-09,-0.04458860838409573
1.634868897101376e-09,0.8634772083924094,1.634868897101376e-09,-0.04459442510775855
1.636848493211397e-09,0.8634868356418097,1.636848493211397e-09,-0.04460611994387637
1.640807685431439e-09,0.8635072389333061,1.640807685431439e-09,-0.04463082348801219
1.648726069871523e-09,0.8635528020112661,1.648726069871523e-09,-0.04468922367336938
1.651019441237568e-09,0.8635673650793162,1.651019441237568e-09,-0.04470866353577337
1.655606183969657e-09,0.8635956841285605,1.655606183969657e-09,-0.04474663211553852
1.664779669433835e-09,0.8636637819601335,1.664779669433835e-09,-0.04483759674739624
1.667746402597028e-09,0.8636851927338368,1.667746402597028e-09,-0.0448670573063913
1.673679868923412e-09,0.8637232369337482,1.673679868923412e-09,-0.04492152060287137
1.683494883452717e-09,0.8637832224449656,1.683494883452717e-09,-0.04500737378518322
1.686239247393762e-09,0.863799676989403,1.686239247393762e-09,-0.04503007042422665
1.691727975275852e-09,0.8638297417552453,1.691727975275852e-09,-0.04507094014272224
1.700394358637962e-09,0.8638760340410021,1.700394358637962e-09,-0.04513111582234339
1.70267573686136e-09,0.8638881664563099,1.70267573686136e-09,-0.04514612186908665
1.707238493308154e-09,0.8639077536263355,1.707238493308154e-09,-0.04516982790393437
1.715185949698763e-09,0.8639550916197157,1.715185949698763e-09,-0.04522150062499161
1.721917490983514e-09,0.8639930603083902,1.721917490983514e-09,-0.04526121340850026
1.729563027626807e-09,0.8640312192049335,1.729563027626807e-09,-0.04529902435558746
1.736323959773091e-09,0.8640593836138114,1.736323959773091e-09,-0.04532330464603225
1.746178557327507e-09,0.8640878060996765,1.746178557327507e-09,-0.04534044738478075
1.748871238803046e-09,0.8640889918028059,1.748871238803046e-09,-0.04533758922121785
1.754256601754123e-09,0.8640778299868866,1.754256601754123e-09,-0.04531724618608183
1.761297653371201e-09,0.8640507031578877,1.761297653371201e-09,-0.04527531362405735
1.768579286079778e-09,0.8640047370712335,1.768579286079778e-09,-0.04521278059309043
1.77448043284258e-09,0.8639486164171737,1.77448043284258e-09,-0.04514424194961397
1.782226775128778e-09,0.8638520704335145,1.782226775128778e-09,-0.04503370758424179
1.790183422940928e-09,0.8637317125620686,1.790183422940928e-09,-0.04490271584203928
1.793326217879139e-09,0.8636797049210454,1.793326217879139e-09,-0.04484820975181003
1.799470335010664e-09,0.8635664053252728,1.799470335010664e-09,-0.04473249599648446
1.802315937299019e-09,0.8635091462551681,1.802315937299019e-09,-0.044674720891074
1.805631818284934e-09,0.8634386549320331,1.805631818284934e-09,-0.04460459447568093
1.810818168644379e-09,0.8633244372651837,1.810818168644379e-09,-0.04449109887319522
1.816598903935066e-09,0.8631889961178039,1.816598903935066e-09,-0.04435841656900621
1.825036016658801e-09,0.8629754949163522,1.825036016658801e-09,-0.04415145002150517
1.831476637763998e-09,0.8628009556062251,1.831476637763998e-09,-0.04398186954240946
1.841472437289552e-09,0.8625200194144489,1.841472437289552e-09,-0.04371178818329192
1.846465888201034e-09,0.862376718721835,1.846465888201034e-09,-0.04357726466858854
1.852771371757286e-09,0.862189103454482,1.852771371757286e-09,-0.04340410932264204
1.858653161409178e-09,0.8620146412388126,1.858653161409178e-09,-0.04324447709502177
1.864099801061411e-09,0.8618562982508536,1.864099801061411e-09,-0.04310154304034911
1.870085866493704e-09,0.8616896798094152,1.870085866493704e-09,-0.04295394393486152
1.877484946693024e-09,0.8614923592642286,1.877484946693024e-09,-0.04278264562422089
1.880763014928637e-09,0.8614083547801886,1.880763014928637e-09,-0.04270953239485194
1.887319151399862e-09,0.8612609042036805,1.887319151399862e-09,-0.04258035772933467
